incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD24040474,4/8/2024 4:51:00 PM,4/9/2024 5:34:00 AM,9553,33 STOLEN PROPERTY,"RECEIVING STOLEN PROPERTY $500 < $1,000 514.110(3)(a) 28010 280",280,A,YES,1ST DIVISION,112,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,,LOUISVILLE,40211,53564
LMPD24040824,4/9/2024 1:00:00 PM,4/9/2024 1:00:00 PM,5465,24 VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE 512.040 01403 290,290,A,YES,1ST DIVISION,111,RESIDENCE/HOME,2900 BLOCK PORTLAND AVE,LOUISVILLE,40212,53565
LMPD24040606,4/8/2024 10:23:00 PM,4/8/2024 10:23:00 PM,5532,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,YES,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO),8200 BLOCK MINOR LN,LOUISVILLE,40219,53566
LMPD24040486,4/8/2024 4:49:00 PM,4/8/2024 4:49:00 PM,5115,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,YES,7TH DIVISION,735,RESIDENCE/HOME,5300 BLOCK ROBBS LN,LOUISVILLE,40219,53567
LMPD24041027,4/9/2024 11:39:00 PM,4/7/2024 11:39:00 PM,5462,13 BURGLARY,BURGLARY - 2ND DEGREE 511.030 22061 220,220,A,YES,2ND DIVISION,211,RESIDENCE/HOME,600 BLOCK LINDELL AVE,LOUISVILLE,40211,53568
LMPD24040780,4/9/2024 1:00:00 PM,4/9/2024 2:00:00 AM,8560,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,NO,5TH DIVISION,513,RESIDENCE/HOME,2200 BLOCK WOODFORD PL,LOUISVILLE,40205,53569
LMPD24040612,4/8/2024 10:03:00 PM,4/8/2024 10:03:00 PM,5434,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY) 508.030 00796 13B,13B,A,YES,6TH DIVISION,611,RESIDENCE/HOME,1200 BLOCK MORGAN AVE,LOUISVILLE,40213,53570
LMPD24041006,4/9/2024 11:37:00 PM,4/9/2024 11:37:00 PM,7289,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (CHILD ABUSE) 508.030 00799 13B,13B,A,YES,7TH DIVISION,736,RESIDENCE/HOME,9000 BLOCK WALTER AVE,LOUISVILLE,40229,53571
LMPD24900939,4/9/2024 1:00:00 PM,4/9/2024 1:00:00 PM,8185,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,YES,6TH DIVISION,612,RESIDENCE/HOME,1200 BLOCK KREMER AVE,LOUISVILLE,40213,53572
LMPD24040648,4/8/2024 10:00:00 PM,4/8/2024 10:00:00 PM,5059,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,YES,3RD DIVISION,331,RESIDENCE/HOME,5900 BLOCK CROCKETT DR,LOUISVILLE,40258,53573
LMPD24041014,4/9/2024 11:28:00 PM,4/9/2024 11:28:00 PM,5547,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,YES,8TH DIVISION,823,CONSTRUCTION SITE,17200 BLOCK FARRIER DR,LOUISVILLE,40245,53574
LMPD24040811,4/9/2024 12:45:00 PM,4/9/2024 12:45:00 PM,5301,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,NO,4TH DIVISION,412,RESIDENCE/HOME,600 BLOCK SCHOLAR HOUSE CT,LOUISVILLE,40217,53575
LMPD24040944,4/8/2024 10:00:00 PM,4/8/2024 10:00:00 PM,5391,23 THEFT OTHER,TBUT OR DISP FIREARM 514.030 23100 23H,23H,A,YES,4TH DIVISION,423,RESIDENCE/HOME,1300 BLOCK WEYLER AVE,LOUISVILLE,40215,53576
LMPD24041022,4/9/2024 11:27:00 PM,4/9/2024 11:27:00 PM,5527,46 FAMILY OFFENSES,VIOLATION OF KENTUCKY EPO/DVO 403.763 02763 90F,90F,B,NO,2ND DIVISION,211,RESIDENCE/HOME,4200 BLOCK VERMONT AVE,LOUISVILLE,40211,53577
LMPD24040769,4/9/2024 12:26:00 PM,4/8/2024 9:00:00 PM,8373,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,YES,8TH DIVISION,811,PARKING/ DROP LOT/ GARAGE,5500 BLOCK FOREST LAKE DR,LOUISVILLE,40059,53578
